# nXAux 	 nYAux 	 nZAux 	X 	 Y 	 Z 	 Rho 	 Phi 	ThetaAle 	 PhiAle 	 ThetaMin 	color	 nXFinal 	 nYFinal 	 nZFinal 
# Todo en mm y angulos en radianes
179	217	257	-4.20	3.40	44.78	5.40	2.46	1.79	4.26	0.39	2.00	57	0	78
211	179	243	2.20	-4.20	42.34	4.74	5.19	1.99	0.96	0.41	2.00	0	237	316
210	224	195	2.00	4.80	33.98	5.20	1.18	1.57	1.17	0.15	2.00	340	400	45
222	191	191	4.40	-1.80	33.28	4.75	5.89	1.14	1.78	0.33	2.00	0	263	353
219	224	230	3.80	4.80	40.08	6.12	0.90	2.36	2.74	0.33	2.00	107	47	0
186	185	300	-2.80	-3.00	52.28	4.10	3.96	1.39	4.13	0.35	2.00	139	325	400
191	191	271	-1.80	-1.80	47.22	2.55	3.93	0.69	3.56	0.35	2.00	69	0	275
181	201	303	-3.80	0.20	52.80	3.81	3.09	2.83	5.00	0.58	2.00	152	61	400
175	206	245	-5.00	1.20	42.69	5.14	2.91	1.94	3.54	0.21	2.00	311	400	75
197	197	224	-0.60	-0.60	39.03	0.85	3.93	0.70	0.85	0.35	2.00	400	250	290
179	206	240	-4.20	1.20	41.82	4.37	2.86	2.09	1.92	0.26	2.00	83	144	400
197	197	287	-0.60	-0.60	50.01	0.85	3.93	3.11	2.97	0.47	2.00	0	117	116
206	211	259	1.20	2.20	45.13	2.51	1.07	0.70	1.91	0.34	2.00	400	157	128
208	185	267	1.60	-3.00	46.52	3.40	5.20	2.49	1.90	0.54	2.00	292	232	400
186	211	282	-2.80	2.20	49.14	3.56	2.48	0.27	4.42	0.50	-2.00	1	1	1
187	199	217	-2.60	-0.20	37.81	2.61	3.22	0.11	0.37	0.39	-2.00	1	1	1
180	175	178	-4.00	-5.00	31.02	6.40	4.04	0.56	4.45	0.11	2.00	117	256	0
224	187	303	4.80	-2.60	52.80	5.46	5.79	1.41	4.91	0.35	2.00	400	150	170
208	178	245	1.60	-4.40	42.69	4.68	5.06	0.08	2.46	0.49	-2.00	1	1	1
224	194	245	4.80	-1.20	42.69	4.95	6.04	2.67	2.96	0.52	2.00	0	237	193
178	220	283	-4.40	4.00	49.31	5.95	2.40	1.78	5.74	0.67	2.00	341	117	0
187	214	213	-2.60	2.80	37.12	3.82	2.32	1.96	0.12	0.36	2.00	329	0	76
194	184	292	-1.20	-3.20	50.88	3.42	4.35	0.75	6.06	0.50	2.00	22	0	190
201	212	242	0.20	2.40	42.17	2.41	1.49	2.30	1.78	0.29	2.00	162	112	0
188	208	261	-2.40	1.60	45.48	2.88	2.55	0.43	6.17	0.49	-2.00	1	1	1
176	178	184	-4.80	-4.40	32.06	6.51	3.88	2.88	1.00	0.42	2.00	400	225	21
179	214	192	-4.20	2.80	33.46	5.05	2.55	0.75	5.08	0.37	2.00	349	0	353
223	211	195	4.60	2.20	33.98	5.10	0.45	1.57	6.26	0.16	2.00	175	400	170
176	198	285	-4.80	-0.40	49.66	4.82	3.22	0.64	3.52	0.28	2.00	311	121	400
224	216	310	4.80	3.20	54.02	5.77	0.59	1.41	4.05	0.79	2.00	0	48	161
212	209	196	2.40	1.80	34.15	3.00	0.64	1.94	4.09	0.36	2.00	54	400	392
200	177	306	0.00	-4.60	53.32	4.60	0.64	1.72	0.45	0.35	2.00	361	90	0
207	201	218	1.40	0.20	37.99	1.41	0.14	1.60	0.70	0.28	2.00	276	211	400
193	207	196	-1.40	1.40	34.15	1.98	2.36	3.08	4.46	0.31	2.00	160	0	330
195	224	301	-1.00	4.80	52.45	4.90	1.78	2.59	0.42	0.45	2.00	181	151	400
187	201	260	-2.60	0.20	45.31	2.61	3.06	0.14	1.46	0.40	-2.00	1	1	1
187	207	247	-2.60	1.40	43.04	2.95	2.65	2.62	0.55	0.41	2.00	400	346	135
186	181	290	-2.80	-3.80	50.53	4.72	4.08	0.84	3.94	0.29	2.00	93	0	400
192	183	227	-1.60	-3.40	39.55	3.76	4.27	0.21	1.20	0.44	-2.00	1	1	1
194	207	308	-1.20	1.40	53.67	1.84	2.28	1.29	1.93	0.50	2.00	400	373	199
207	222	233	1.40	4.40	40.60	4.62	1.26	0.31	6.09	0.30	2.00	297	60	0
195	219	236	-1.00	3.80	41.12	3.93	1.83	0.05	5.99	0.40	-2.00	1	1	1
190	211	289	-2.00	2.20	50.36	2.97	2.31	3.05	2.13	0.37	2.00	0	330	334
213	194	314	2.60	-1.20	54.71	2.86	5.85	2.77	4.78	0.53	2.00	51	0	153
175	223	196	-5.00	4.60	34.15	6.79	2.40	2.62	3.71	0.18	2.00	400	172	369
211	223	292	2.20	4.60	50.88	5.10	1.12	1.59	5.67	0.49	2.00	0	387	167
196	223	236	-0.80	4.60	41.12	4.67	1.74	2.72	1.30	0.21	2.00	326	169	0
178	195	176	-4.40	-1.00	30.67	4.51	3.37	0.06	0.92	0.33	-2.00	1	1	1
198	216	276	-0.40	3.20	48.09	3.22	1.70	2.73	5.29	0.55	2.00	263	0	333
186	186	204	-2.80	-2.80	35.55	3.96	3.93	0.80	4.90	0.22	2.00	63	0	204
205	217	213	1.00	3.40	37.12	3.54	1.28	1.22	3.19	0.33	2.00	400	347	156
181	217	296	-3.80	3.40	51.58	5.10	2.41	2.96	5.54	0.71	2.00	79	400	320
200	187	206	0.00	-2.60	35.90	2.60	2.41	1.01	1.69	0.24	2.00	137	0	361
215	206	228	3.00	1.20	39.73	3.23	0.38	0.81	2.77	0.40	2.00	51	208	0
223	224	187	4.60	4.80	32.58	6.65	0.81	1.68	4.84	0.34	2.00	132	400	55
178	177	283	-4.40	-4.60	49.31	6.37	3.95	3.12	0.98	0.69	2.00	0	130	3
177	207	249	-4.60	1.40	43.39	4.81	2.85	2.22	3.58	0.24	2.00	160	400	279
211	222	268	2.20	4.40	46.70	4.92	1.11	0.77	4.58	0.58	2.00	400	171	204
190	204	238	-2.00	0.80	41.47	2.15	2.76	1.37	1.67	0.32	2.00	70	400	144
184	200	252	-3.20	0.00	43.91	3.20	2.76	1.21	4.63	0.40	2.00	13	180	0
217	205	231	3.40	1.00	40.25	3.54	0.29	0.29	2.94	0.43	-2.00	1	1	1
198	212	268	-0.40	2.40	46.70	2.43	1.74	1.13	3.41	0.43	2.00	400	351	253
220	190	198	4.00	-2.00	34.50	4.47	5.82	2.67	0.39	0.20	2.00	0	244	29
202	178	234	0.40	-4.40	40.77	4.42	4.80	1.66	0.81	0.42	2.00	207	400	189
214	189	174	2.80	-2.20	30.32	3.56	5.62	1.88	5.49	0.17	2.00	0	103	19
182	192	205	-3.60	-1.60	35.72	3.94	3.56	0.15	0.01	0.39	-2.00	1	1	1
204	192	202	0.80	-1.60	35.20	1.79	5.18	1.88	0.57	0.30	2.00	268	400	89
215	199	247	3.00	-0.20	43.04	3.01	6.22	0.25	3.63	0.45	-2.00	1	1	1
206	202	312	1.20	0.40	54.37	1.26	0.32	3.06	6.15	0.55	2.00	166	343	400
224	213	264	4.80	2.60	46.00	5.46	0.50	1.39	2.98	0.54	2.00	246	241	0
182	219	238	-3.60	3.80	41.47	5.23	2.33	2.03	2.90	0.20	2.00	30	332	0
208	195	240	1.60	-1.00	41.82	1.89	5.72	2.98	5.56	0.30	2.00	371	310	400
203	193	256	0.60	-1.40	44.61	1.52	5.12	2.91	1.55	0.44	2.00	129	0	41
212	175	233	2.40	-5.00	40.60	5.55	5.16	1.03	1.37	0.46	2.00	282	0	263
207	189	303	1.40	-2.20	52.80	2.61	5.28	2.35	1.69	0.65	2.00	338	120	0
194	188	310	-1.20	-2.40	54.02	2.68	4.25	2.86	3.39	0.50	2.00	0	271	331
209	206	211	1.80	1.20	36.77	2.16	0.59	2.04	3.99	0.36	2.00	91	400	234
193	180	243	-1.40	-4.00	42.34	4.24	4.38	1.63	3.51	0.26	2.00	118	140	400
205	189	206	1.00	-2.20	35.90	2.42	5.14	2.02	4.60	0.24	2.00	400	269	86
216	216	236	3.20	3.20	41.12	4.53	0.79	0.52	2.49	0.34	2.00	190	300	400
180	190	251	-4.00	-2.00	43.74	4.47	3.61	0.66	4.72	0.29	2.00	40	344	0
207	215	257	1.40	3.00	44.78	3.31	1.13	1.34	2.88	0.40	2.00	303	400	45
201	180	193	0.20	-4.00	33.63	4.00	4.76	0.24	1.57	0.38	-2.00	1	1	1
201	205	192	0.20	1.00	33.46	1.02	1.37	1.85	3.19	0.29	2.00	0	302	38
186	189	293	-2.80	-2.20	51.06	3.56	3.81	2.36	1.54	0.59	2.00	166	169	400
202	218	216	0.40	3.60	37.64	3.62	1.46	0.39	3.20	0.32	2.00	177	111	0
214	197	217	2.80	-0.60	37.81	2.86	6.07	0.84	6.12	0.24	2.00	21	400	250
181	213	315	-3.80	2.60	54.89	4.60	2.54	3.00	2.79	0.38	2.00	0	175	188
175	182	281	-5.00	-3.60	48.96	6.16	3.77	1.04	4.79	0.28	2.00	16	400	138
216	184	276	3.20	-3.20	48.09	4.53	5.50	0.33	3.73	0.45	-2.00	1	1	1
222	178	315	4.40	-4.40	54.89	6.22	5.50	0.67	5.08	0.29	2.00	328	343	400
192	202	174	-1.60	0.40	30.32	1.65	2.90	1.68	2.17	0.23	2.00	78	343	400
202	186	287	0.40	-2.80	50.01	2.83	4.85	0.74	5.33	0.38	2.00	267	0	91
210	184	229	2.00	-3.20	39.90	3.77	5.27	1.72	1.05	0.37	2.00	391	296	400
210	213	224	2.00	2.60	39.03	3.28	0.92	0.54	1.04	0.23	2.00	299	0	308
187	181	267	-2.60	-3.80	46.52	4.60	4.11	0.68	3.21	0.29	2.00	195	398	400
200	206	224	0.00	1.20	39.03	1.20	1.57	1.66	4.31	0.36	2.00	400	146	221
206	182	195	1.20	-3.60	33.98	3.79	5.03	0.42	2.53	0.36	2.00	399	400	231
178	183	198	-4.40	-3.40	34.50	5.56	3.80	0.63	1.39	0.38	2.00	400	169	200
212	178	299	2.40	-4.40	52.10	5.01	5.21	2.12	2.33	0.71	2.00	0	294	68
207	183	261	1.40	-3.40	45.48	3.68	5.10	1.63	0.54	0.41	2.00	294	400	309
222	187	253	4.40	-2.60	44.09	5.11	5.75	1.61	2.85	0.54	2.00	91	0	339
195	176	236	-1.00	-4.80	41.12	4.90	4.51	2.35	2.23	0.43	2.00	0	80	238
209	216	244	1.80	3.20	42.52	3.67	1.06	1.55	1.01	0.25	2.00	348	56	0
199	219	246	-0.20	3.80	42.87	3.81	1.62	2.77	0.18	0.33	2.00	284	0	108
186	218	198	-2.80	3.60	34.50	4.56	2.23	0.90	3.95	0.28	2.00	400	307	32
223	201	252	4.60	0.20	43.91	4.60	0.04	0.02	5.00	0.31	-2.00	1	1	1
183	203	216	-3.40	0.60	37.64	3.45	2.97	0.87	2.17	0.24	2.00	130	0	117
215	216	215	3.00	3.20	37.46	4.39	0.82	0.53	4.09	0.43	2.00	278	400	167
219	189	258	3.80	-2.20	44.96	4.39	5.76	0.24	2.99	0.53	-2.00	1	1	1
185	194	266	-3.00	-1.20	46.35	3.23	3.52	1.53	1.37	0.47	2.00	0	164	185
215	194	275	3.00	-1.20	47.92	3.23	5.90	0.17	3.65	0.51	-2.00	1	1	1
214	210	192	2.80	2.00	33.46	3.44	0.62	0.14	0.28	0.20	-2.00	1	1	1
203	219	305	0.60	3.80	53.15	3.85	1.41	1.08	5.87	0.58	2.00	7	0	79
210	209	305	2.00	1.80	53.15	2.69	0.73	0.84	5.18	0.58	2.00	143	49	400
178	175	222	-4.40	-5.00	38.68	6.66	3.99	1.00	0.48	0.49	2.00	216	111	0
212	195	178	2.40	-1.00	31.02	2.60	5.89	0.43	0.85	0.24	2.00	259	0	58
193	197	233	-1.40	-0.60	40.60	1.52	3.55	2.51	0.11	0.39	2.00	153	0	254
185	200	275	-3.00	0.00	47.92	3.00	3.55	1.84	0.47	0.55	2.00	357	400	393
204	193	271	0.80	-1.40	47.22	1.61	5.23	2.15	2.95	0.47	2.00	81	400	280
183	176	229	-3.40	-4.80	39.90	5.88	4.10	2.20	3.61	0.16	2.00	400	291	141
176	210	295	-4.80	2.00	51.40	5.20	2.75	2.67	4.05	0.41	2.00	0	7	90
177	196	314	-4.60	-0.80	54.71	4.67	3.31	1.49	1.42	0.63	2.00	400	224	12
196	213	253	-0.80	2.60	44.09	2.72	1.87	2.04	2.77	0.32	2.00	115	400	79
221	214	255	4.20	2.80	44.43	5.05	0.59	0.11	3.43	0.54	-2.00	1	1	1
178	213	295	-4.40	2.60	51.40	5.11	2.61	3.05	5.75	0.71	2.00	400	350	116
214	201	305	2.80	0.20	53.15	2.81	0.07	2.32	1.59	0.54	2.00	214	260	0
176	196	187	-4.80	-0.80	32.58	4.87	3.31	0.86	0.15	0.39	2.00	0	341	364
198	194	282	-0.40	-1.20	49.14	1.26	4.39	1.72	3.63	0.43	2.00	104	400	159
218	197	234	3.60	-0.60	40.77	3.65	6.12	0.00	5.76	0.24	-2.00	1	1	1
188	222	250	-2.40	4.40	43.56	5.01	2.07	0.31	4.04	0.41	-2.00	1	1	1
203	210	178	0.60	2.00	31.02	2.09	1.28	0.02	1.29	0.21	-2.00	1	1	1
193	177	215	-1.40	-4.60	37.46	4.81	4.42	1.46	0.37	0.38	2.00	263	242	400
217	198	314	3.40	-0.40	54.71	3.42	6.17	2.22	0.99	0.52	2.00	6	400	104
193	203	307	-1.40	0.60	53.49	1.52	2.74	1.74	3.15	0.51	2.00	375	0	263
182	190	283	-3.60	-2.00	49.31	4.12	3.65	0.19	1.92	0.47	-2.00	1	1	1
218	178	227	3.60	-4.40	39.55	5.69	5.40	2.20	5.07	0.16	2.00	400	180	215
208	182	249	1.60	-3.60	43.39	3.94	5.13	1.24	5.28	0.25	2.00	396	58	0
198	206	192	-0.40	1.20	33.46	1.26	1.89	0.56	4.14	0.30	2.00	62	382	0
175	198	204	-5.00	-0.40	35.55	5.02	3.22	1.55	4.20	0.20	2.00	394	336	400
211	176	250	2.20	-4.80	43.56	5.28	5.14	0.81	4.07	0.26	2.00	27	400	111
205	217	242	1.00	3.40	42.17	3.54	1.28	1.39	6.11	0.33	2.00	400	14	12
209	193	190	1.80	-1.40	33.11	2.28	5.62	2.36	6.11	0.23	2.00	400	82	9
191	200	253	-1.80	0.00	44.09	1.80	5.62	1.04	3.88	0.39	2.00	400	186	95
184	208	247	-3.20	1.60	43.04	3.58	2.68	0.66	0.66	0.41	2.00	391	0	212
209	196	299	1.80	-0.80	52.10	1.97	5.86	1.47	0.35	0.47	2.00	0	108	189
182	180	284	-3.60	-4.00	49.49	5.38	3.98	2.06	0.08	0.60	2.00	23	0	61
201	215	215	0.20	3.00	37.46	3.01	1.50	2.21	4.71	0.40	2.00	399	211	400
181	205	264	-3.80	1.00	46.00	3.93	2.88	3.03	3.01	0.27	2.00	400	379	31
190	202	278	-2.00	0.40	48.44	2.04	2.94	1.72	4.01	0.41	2.00	37	355	0
208	211	207	1.60	2.20	36.07	2.72	0.94	2.99	3.31	0.35	2.00	290	250	0
202	217	201	0.40	3.40	35.02	3.42	1.45	0.39	1.04	0.21	2.00	27	0	185
193	223	298	-1.40	4.60	51.93	4.81	1.87	0.94	4.68	0.70	2.00	297	400	67
195	207	201	-1.00	1.40	35.02	1.72	2.19	0.27	0.33	0.30	-2.00	1	1	1
181	189	256	-3.80	-2.20	44.61	4.39	3.67	2.90	1.76	0.42	2.00	182	173	400
211	223	251	2.20	4.60	43.74	5.10	1.12	1.33	4.96	0.49	2.00	400	235	100
175	185	189	-5.00	-3.00	32.93	5.83	3.68	2.04	4.80	0.18	2.00	67	89	400
